id,Prediction
f02ae3f1477f4a199461d6e36db18841,356.8624258
959e352051ec4a48a74b09e7446b5136,170.41223
96cd0fe20c6944da98a5ff41f8838351,182.8142917
e4d0ee058be941589845e9ff6c5a8acd,164.8206589
7142d4fc4d7f4768993fb9e1de49132c,199.6941211
f806399d02a2423ba2f765dbd115bd43,510.5003453
e2f94e0373064631aeca98f38a69e0ff,340.5092366
e09c550a375c4e969b1a51af79fee625,868.7134788
ee290a935b43468c8e4e04aabe2049ee,176.5414294
e08949709b1944e39c9769f8d64eafc8,193.7542562
ecf36cad4c164a31af9bd086b72cd5f0,153.5320533
adf1940965aa45b8bd0d3b8986e0cba4,146.2956469
94d287a8891f400ab585e88320769f2b,526.4337594
1293da2d7f9c4e10b5b0fff4d35c9859,324.9587428
a22ece707eee4df48a012d01415bdf15,764.4572023
81f6a008ee8b4b4eb18777e77aed855a,191.2945141
6686fc908167437085062b1970c54c18,162.1095574
4322720d95e2425fabd8761ae1a66104,166.1365138
ee7c5deb587d48dca8e35effd083a631,682.1417396
57a3a76f6e914a4fb00b9516fb30d948,234.6037441
fb2c83d962df4d53b89f1b759820593c,829.2129725
39910adb67414e46a76f72c200701971,828.2606267
9785d27f8cef46a7b6e354391d1d3645,154.4883135
d0da0dd251244f1280795a5a7098f348,211.2562323
f70e634e788643639ecf5e92ccef95b5,462.7827952
461f43ef9cb546cfb236d0fef6a32355,376.9064177
1d7ec319add9446896c9f53c14b71f32,332.1816966
887b039c536c4c869fb18223c1117052,192.6829379
36d508f773a241fabd6c56ab47c89bc9,686.9054683
de05be6bb2544deca6f828ee558df35f,560.7207668
9137cd11f62948309618ff2b869d1a48,306.2070898
b5109f1d6873467fa8da09fb3cd96916,763.8907561
108b8b4bfb77496aab911c4b490aaa8b,556.4058483
e65e890e2d7046519151a537a16a1060,276.2714263
01481906389d4eb189d0b6742fd68e13,552.5698548
f8366db954ca4bc2a557ef40b3419a0f,289.1916305
93f3b5a1de1e4a6caf6bcdc8b228f311,536.3800213
f8467b4b699b4dafa071c05391e4ebce,734.8419754
5deddca931b04367ac8f65c66a2b8e45,486.6932643
5d1dd389471c4233b27ff6670c7c0625,635.8801462
0ffb25479ad54c94a3eacbe70793cd32,177.9228148
186f9f9e623849b49aeebbd25246eab8,530.4137753
e7ddfd5227594fa2b1f69e745fa0844c,162.7611673
f6c28f79b8dc45c6b6860f29faacbabd,335.2010369
f834b414e3544b4bba7f53b2783694bb,285.1981649
d8338e8f07384418910a35b50f59add4,231.3964969
67a3b861fe3f4965aa250f646c8e373a,362.4689647
dfa5e71302754012bbd5f0c0958f9eb2,544.5176283
8916510836934c5291c1932a7d1f530a,153.5003185
a52d71957bb94664862dd21a9959caba,153.7219784
ab9a7dfa7e7b438994d2a7d3138ed7f6,216.6433662
b1a34865ecb34695beb0236705e68f10,646.1315261
9d0ff605697443259d0ce79358ff80e5,255.8559078
3f5f569569a5486a8db1925bee6e746f,1089.209582
2258bf1eb7f440288f3d1b0681ecd05a,313.0547622
572dcdd8db9c41d480fe7b8c350c0f26,395.2252451
03201f8468b54f5eae73c1a6f27aa03e,758.5637296
b3630d46bff24391a813d5f95194e540,404.3084818
27da899be3434eee97e68b9dfa8b6bfb,195.2266713
d7a086c495c9423e9571b9c74d1110da,931.7053171
13b9a892572c423b9ecf91004892d64b,184.7407588
e45fd1f0e8084a2a9b96e00c5d6e3fda,250.6055109
699fb013dfe249f2b42c8309e5276b3a,270.2308019
6b6bc032a1c64cb085a43ef5461894f1,153.5991905
710a8b01e9a544d2a51e1e24b916fd77,137.8658397
41aa6af7e0e14d78b36ece3e162da5dd,290.8319277
69dd44643d554dabb64fe83ac52e90ec,168.7815088
e0cae8a03cc14ec79b0c63f97c755720,586.8274702
4c15a8ea8ba94b3099e6e93771dd46ff,492.2776174
d3594ebae0b842e7a6132c476f59ebdc,350.5331465
5b9e1187f8eb4237a15218b735bece27,839.1917312
5c3ed8f17f694a5ebf9dce10719b9df4,453.6793736
c6f07cfd49194d949a874b7b3cf26647,68.70217517
4676c07b6aa843ec8f8df2ae6a55f01c,171.5287232
c935f102a6784c54ab0f9758a1bcbe86,196.2118665
c3578eb93d96487e97b08c8874faa760,191.1823354
b4eb88c77f9b4eb383b29402487d240a,241.0364051
013b57f821e546ce830ac42fe9a859c3,196.4469964
34c7666bc6084ceabe780f74f66e9e3e,383.3117728
631d01f313944f07af17eec8363b4ec6,260.2695144
cbcd53ad45b04bfda5e8eefff78825d2,326.8737168
bc368aaa43c94126b67f30221849b46b,741.8725048
82f5728434244d6ba8f855dfd6b1ee0a,154.9562473
14907c5e42614d7786ecc43caf209930,249.8388887
ba95b9940ab446708a9f8cf5ce5585e5,410.8519725
96c6c9b4dda54017890a9649085782f7,115.1410212
75d7f0b3eeef4a508ab0521c9c3356ee,392.9041154
8cbe52c057f04f10876f0ab6241aea7f,792.2239354
791b6186caae48e7933b25503437dba8,537.1935351
2c5f2ca064ff4ee984b4a9e37b971822,511.1754846
5df65c8598964ee995af06e318086d0a,255.7646899
80f39f8411144437aa2f6172a644e2f6,451.2031134
ab0379b637a64d88b50035c6f713a322,255.3764804
710c1a629eb9423e9b53116dacbe1b83,847.6998184
18c6438e583b434eb58a905a9667880a,676.3250451
66f78f73eb8949919c417552f422582f,169.1745404
624cc69aac6f457e84771a34abcacde4,136.0390308
a7bc5a3c294842c9837fc5c51eb93662,931.6555762
3f1860bf3b174184bc02e10e45ad959d,291.0510174
9d0676aa8d0643bcb38df70adde5ad53,307.9476229
cb914aa1bc89429783391367200cfa9d,420.7533221
c76ae859275a4dbe9fae2b3a967eaa8a,347.7286574
65ff13fed224425f98041d6cae924713,210.5274706
2505b1edf1314493854686bed48634de,113.0539265
d033753bf54c491b97c990e2659199b8,305.3598614
47a0fe881eb4406195255a3fc59f6236,263.5910421
b530824822754aaea595217d7c231dc0,196.2339003
b8230894f31f4a58b7c94d39c7445629,214.0467488
a3b8452ab4354b638ef66aecd88d5517,238.805029
6a6f9feb9eb94e5c9cb5c95935435162,1011.59877
c3944a75057c4bc197d2794cd5f481ec,468.1625682
872fb0cbad0242fb8283cb359b76f7af,262.7487186
c203d0ecd59d4e82bc2432827eaebf49,464.75653
a8f07f45ef474821ae8113f1e1451bc0,994.6051066
0d371595805b4cd6b8c2ccca376fe022,533.1317609
c34e9e1ddd774d0e8e25297fb7563572,308.9639273
a6aa742a8f1c499abe2b209f391eb970,191.2466235
6d40bafbec9a4782ab61bfe866cd5630,377.1756012
6cf2b5da128a4a66989950561accfe1f,227.0047854
b59cdf7c56364ec7954ab28adc851ceb,290.5302696
5076e2c8bb1645369fb19b2d746ed003,408.76213
d3e7db0b5d784aaea11641804b063c79,192.1834748
11fde0b863424ed6a08b0073e1e27770,391.7380954
b8591f38a4bc479ebeabb5188427ae82,333.9025403
ed297323c07b4e91a8b3815129a34246,211.0359255
0e6de12e69da4526ace43fbf38b003a2,404.6984631
7b1179475b1a4acc8721ff23666ca425,406.8764136
56cca4d5430e4b4591218994635e07fe,397.715679
5c195bb3a5194e3684a08d264f83d58c,648.1816148
104cc6c37f28454ea998bba14fee6299,167.1401502
a576909ca6274f53be306e5da2a81a37,585.6152196
43f2ab0347924dfb96df124cc1d565bc,571.2243077
7e50a11b00c54f90b751e86259ea99df,257.0148152
6509662ad1da417e93c2d7f74bf2a806,340.5483842
2d77f2ae9c614fa0ab6db49437a2484a,277.48995
d4edc52085b04ac688b0bf938088bfe5,383.655355
ff9f10be91814db9a99852c901443ae7,457.5419007
d78b3c240fe8451a831a99dbe2269901,459.0713414
f86ae8a47d6446069fdc9c9ad6a781c5,335.6174649
4f2ba42287b446398d75681f5e65f120,407.074105
25a2f6dc55ad4ce68828d5bd47f4fdae,69.73133166
849d0221c9c048ccaba78666de8adfb6,270.0251262
f26d5ff1996a4d52bb8af308085dce4f,395.5222286
5b0d2f39e8414f2d98e454d6c084e76e,203.047251
4faff43df29b4676b004bc50b18e6608,136.0864661
63d618e8cd644ac281db3513e5bfe11b,410.1451425
e5e0f56eb4cc4dfb96c2515a7736b87c,249.1550719
7dda86f0b8d448ddb2eb67cf7a9ce04c,321.2983822
5245919475c145c5a883f90be9e627ad,155.8669075
7d8d9f4b1bfc4ac3aecf7e9b72859eb4,454.5505705
4ef0b924a4f74b27b34f4ec3d134f976,1253.029136
0dfc83af62644505a23d4907cf7688fc,451.8414361
