id,Attrition
5ca46720-6bc1-4fe2-968c-edbc306dfedc,No
faa1e149-15e4-4a6c-bc5a-d8e5f81af897,No
ae2e1f78-2802-4324-8c64-26db02fb85b5,No
b5189491-5ea4-4841-bc04-755d5c1bbd85,No
7fe5d71d-b568-42cb-a6ac-e84bf3a02b77,No
dafddede-726f-4cb6-83fd-68f7fb68a93c,No
8a4fac5d-859c-4d87-a3e3-cfe9f083eb10,No
fe7e9bbc-accf-47b6-85b2-cc971d3448bf,No
775906c9-b4fd-4693-acbf-b0d38c7837ca,No
7cc152bd-bafa-4ac9-9902-6a261e42bc22,No
2935359a-9786-4ed6-8dff-fb608aa5e58c,No
fe7a3190-8e29-4a52-b7cc-b4b3bd1fc7fb,No
e5257f26-a009-4a50-b2ba-348e4766e103,No
c127ad89-dc85-41f0-a2a7-02095058093a,No
cfb6bbf4-7e39-465c-b495-4e581a438af4,No
3a3c3412-948b-4703-9a81-f7cb4e52d787,No
91e3babc-2611-4825-bb22-d11b435e27da,No
b663422a-79b0-4ba7-bd6f-2a556a1e5193,No
dd3badef-a35f-4bd2-a718-7d5d9dad8f9b,No
f1ba0efa-aef6-4214-a376-7692f75d6560,No
24abf10f-8097-441c-9087-6668b0d9aafb,No
73a6c3d8-c30e-4aef-b67d-62c73d8c9aa6,Yes
4fe02e14-a17d-4fe3-9f07-fb4905b8892c,No
7eaff092-20b0-42f7-b143-4d9e66f44dcf,No
12c50e41-1e3b-4f05-8d1b-e8d088e18f95,Yes
01dd8c71-7b67-4158-b118-fa2141c9b7f9,No
3b22890a-e94c-4be8-bf03-05204a762fc2,Yes
14ca6f2a-55d6-4eb0-8f7c-1fb499a11b0f,No
aa771210-740f-4d97-b87f-1fc9c6f28991,No
6b0a77b1-83de-4df7-8840-3d955bd09fb2,No
4fa48692-523d-4d9e-a615-2d12f4982aaa,No
d47aa7da-3af3-4dae-8323-f462bd908f0b,No
89993a07-83e9-42c5-914a-0da2d9bddb23,No
d30007c8-92ad-49f7-bde7-93a07b76a50c,No
ec3ad3f1-9845-43cf-a490-e5a3b49c3765,No
75ec9da0-1f6b-4cf1-b363-553a0ac5d578,No
29039f96-4763-4ccc-be24-f9e545875202,Yes
15a4efb6-0d40-4444-8544-328680544dbc,No
e8371187-5039-4723-8785-42efb7e069c1,No
b0f9a6c8-e594-4a2d-98b3-2f36f0eed765,No
932f2341-9dbf-43f8-8723-104cc1adcee3,No
0ee861d8-3d1c-4954-aac3-cdb0cd753936,No
fa73227d-76f8-4b7f-b10c-3933cac01ec7,No
a616d3b5-7daf-4efd-b81f-eb82666b867e,No
51b95d1c-218e-46e0-bbbb-9a90528fb583,No
021b8075-4cb1-41f9-8a46-3879ba4aaa81,No
70f7befe-7ddf-47ef-9c6f-21b2046af6c3,No
efe68e5d-aed8-4904-b5e2-0977892d8a86,No
4015fdf0-e4e9-477e-9f04-b1d21360ada5,No
0ff96c98-e814-405e-b07c-786a5e389279,No
14a9b318-425b-40ee-927a-dc4392096ece,No
bed07455-dc76-4358-95f7-20c6923848fd,No
2237938c-254b-4833-aad1-08fa688d75df,No
8a7da909-1809-437a-b80d-a3b3117df170,No
1b9cfdf4-7c2c-4765-b95c-43ad9a80da78,No
59ddaddf-b455-4488-b67a-f9ae94da9735,No
0de72bd8-d941-4f04-be61-21c30f5a4429,Yes
79d07155-31df-416a-bb92-f32f1fd38170,No
97cf7c35-3fdb-471b-9672-04b3cf5cbae8,No
f376223f-b0e8-4dec-b215-b7cc41d71933,No
e21d9f6b-a268-402c-9048-fa67acb8e6f6,No
7588067f-8b72-4890-bd03-5ba82603f3a1,No
30043286-2014-40c0-88bc-3e4f18a47680,No
52b46742-ee12-48df-8d20-0e3ce8f40235,No
07a6f12c-e665-4ffa-b350-b30c18909e11,No
9549c488-7662-4a7e-91fc-e69bdbe5f41b,Yes
182bae33-a7ef-4531-bbca-bdb19e988306,No
0dc2268d-e78f-4765-9035-8d780b53f3aa,No
fd2bca22-1ef5-4e52-98bf-ff7e555f43d9,No
2ff7c66e-1e05-423e-99ac-3fbf173ed33e,No
2b207d6a-151e-4517-9b4f-151cbfda6155,No
7addfec6-18a9-4e7c-876a-92e459a399d1,No
dad51981-e69d-46d4-a04c-5c1628e73d8c,No
efbfed65-f15d-4b42-a3fd-c535473916c2,No
45dc9689-3f8f-41a5-9d47-26aca01ec2ab,No
c8b66dcd-b395-43a3-b9c1-b69487ab2ef7,No
2d571498-d092-4b97-a766-cbbaf37ab376,No
374b0ab8-f169-432c-abd9-8d84d922fde7,No
3af5b7b2-27c0-4661-84e2-5333538781d3,No
b00b32e1-60ec-48d4-8df6-02e3a6e482e2,No
98aa69e5-0e2c-43f4-954a-6bb7bcbcd1f2,No
5a2b5d74-8d0d-427f-8d90-6037670d41fe,No
e683b489-73e7-45a4-82ec-a7ad3e1c1e29,No
e7d37e23-ed58-4320-ad56-6c0285946ab1,Yes
a0e86cdf-e6ab-4db7-a5e4-ef93d8038023,No
291e9fec-6437-420a-8734-e732038da1fc,No
cef44d0c-3582-4fb3-8f24-3d8d01254429,No
7d0295bb-5d8b-48aa-9d85-eff4b00cfb08,No
311af633-608e-432d-b9ed-33ec9d241082,No
adc8fe67-f468-40ad-b81a-fe341fbcf712,Yes
e3d44e84-588b-4b80-a99b-a1def8655a75,Yes
b0152f9d-ccbc-48ca-87be-8e6895fdf856,No
bee3a9c7-b7f2-40a6-a972-2c9b5659471b,No
3cadaa48-a369-4f64-a685-c39839b4be1d,No
510d9b01-e6ba-4fa8-b2b7-c0bf8d9e75bb,No
8b530aba-490a-43dc-80ff-1f3420cbbcea,No
becb1010-7a34-4281-b984-3529273651ee,No
5b020193-1c2c-4146-afab-193c0b451b76,No
86ada02d-dca3-40b4-be71-c86051f2c4cd,No
bdf27afa-10c7-47f0-a432-6d039156f773,No
a32beaa8-ece7-465d-a7ff-4797f397e120,Yes
51f83d56-9c3f-4ce0-8fb5-87bcdebaf4a0,No
37e6c957-3821-495e-852e-4639119f57ef,No
a0b1edf3-2f34-4145-be34-1a1f89a7999a,No
05e7ff84-c8d5-4adc-8131-a7da8b58c8a0,No
9fd50fee-fa7a-4c16-8a4c-2869ed2d4e40,Yes
d371e938-89ac-413b-afe9-1adc565bf5b0,No
7d109450-8ed8-40f5-90db-124dc23ef782,No
448a6030-6a31-4b80-a7a5-da9f14518b50,No
01c579d4-c5c1-4482-a378-70f8aff3d14c,Yes
12c482b4-8631-4256-9c8c-666bf9f50c3d,No
ddee70e6-633d-40a4-92ea-ba60e08ffdef,No
7a015d5f-41e8-4f0a-9afb-410d19347504,No
47b2bbb2-f95e-4532-95ad-c0fc7901fb32,No
cd610e50-5d7e-4f8c-b48d-8489c273d712,No
5ea825ac-6985-460c-b3ce-83dd3cc59167,Yes
c2d7511f-4e5b-4259-99e8-3d05220339f9,No
5fa8cb2d-b43b-4d18-a4d7-af83b44bc8cc,No
c70abe71-173a-403f-b2cf-b723d7916a53,No
df2bbed7-6d4b-4f00-9ecd-9cebdf7ca925,No
18f4605f-6429-4d7e-867a-df8e59de8aa9,No
c7c0fea0-98e5-4e96-b496-f3fcff530d23,No
39a3115e-6c2f-4dff-9f43-42aef6384780,No
f43b88c2-3bfb-4a9d-8675-40dfd9f60434,No
9c6f4bf5-68a9-4d07-9dfd-2d7992b5e1a2,No
6410215c-50ad-4dfc-b57c-3c155e1422fa,No
76df55be-4331-413b-a748-2bc402845449,No
5aeb9187-5ec4-4615-ac80-fbc7a706a561,No
2a4a9302-42cb-400a-bee3-475fbb283823,No
93762154-e630-49a1-b25f-b78bb5e077e9,No
2d43a34d-886d-40c7-a08e-bb921ca76dac,No
efb10605-8dbb-48e4-95c3-69849856185e,Yes
6bd2afc5-aff3-4a75-92f0-261a7a97fbff,Yes
beb415c9-67b4-4c96-acb6-4c9fbb712cf4,No
27d5773d-4679-4def-93a1-d76f0c5c06e6,No
79721e3a-f413-41fe-9a51-99484925b844,No
2d2ec67d-6795-4583-a07c-36fcf69b556a,Yes
6abbf8cd-5697-4cba-acbb-0353e5a9cdea,Yes
7b19a5c6-0c17-4ebd-94bb-db1d8b80afa6,No
fb6dc584-65c1-4381-95b3-cc15284add78,No
73edfd8f-6da7-4512-9d07-48b8e9b6db2b,No
e0cf1514-3b15-494f-ae5d-d29e89890eed,No
684588c9-c682-4ec1-9324-26e861dbe99b,No
cc99588d-c631-4928-8810-96025b321f43,No
20074e3e-1e29-4a5c-9055-80c40d6f8a90,No
db503af2-6460-4d5a-833a-a187e670a8dd,No
92b0be52-d78e-4e0a-9e86-0f1794769068,No
605178e0-fd36-4630-8b01-a819126a34ed,Yes
